Company,PMDARIMA_ORDER
blx,"(0, 1, 1)"
bma,"(1, 1, 0)"
bmi,"(2, 1, 1)"
bmo,"(2, 1, 0)"
bmrc,"(1, 1, 0)"
bmrn,"(2, 1, 0)"
bmy,"(0, 1, 0)"
boh,"(1, 1, 3)"
bokf,"(0, 1, 0)"
bpt,"(0, 1, 1)"
br,"(0, 1, 0)"
brc,"(0, 1, 0)"
brfs,"(0, 1, 0)"
brkl,"(1, 1, 3)"
brkr,"(0, 1, 0)"
bro,"(0, 1, 0)"
bsac,"(0, 1, 1)"
bsbr,"(0, 1, 0)"
bsmx,"(0, 1, 1)"
bsqr,"(1, 0, 1)"
bsx,"(0, 1, 1)"
btx,"(1, 0, 1)"
bvn,"(0, 1, 0)"
c,"(0, 1, 2)"
calm,"(0, 1, 0)"
calx,"(0, 1, 0)"
capl,"(0, 1, 0)"
capr,"(1, 0, 2)"
car,"(0, 1, 0)"
cass,"(0, 1, 0)"
casy,"(1, 1, 1)"
cat,"(0, 1, 0)"
cato,"(1, 1, 1)"
caty,"(1, 0, 1)"
cb,"(1, 1, 1)"
cbd,"(0, 1, 0)"
cbio,"(3, 1, 0)"
cboe,"(0, 1, 0)"
cbrl,"(0, 1, 0)"
cbsh,"(1, 1, 0)"
cbt,"(0, 1, 0)"
cbu,"(0, 1, 0)"
cbz,"(0, 1, 1)"
ccbg,"(1, 1, 0)"
ccf,"(0, 1, 0)"
ccj,"(3, 0, 3)"
cck,"(1, 0, 1)"
ccl,"(1, 1, 1)"
cclp,"(0, 1, 0)"
ccm,"(1, 1, 0)"
ccne,"(0, 1, 1)"
cco,"(1, 1, 0)"
ccrn,"(0, 1, 0)"
ccxi,"(3, 1, 0)"
cde,"(3, 1, 2)"
cdns,"(0, 1, 0)"
cdxc,"(0, 1, 0)"
cdxs,"(1, 1, 1)"
cdzi,"(0, 1, 1)"
ce,"(0, 1, 0)"
cece,"(0, 1, 0)"
cei,"(2, 1, 2)"
cemi,"(0, 1, 0)"
cent,"(0, 1, 1)"
centa,"(1, 1, 1)"
cenx,"(0, 1, 0)"
ceqp,"(0, 1, 0)"
cev,"(0, 1, 0)"
ceva,"(0, 1, 0)"
cf,"(0, 1, 0)"
cffn,"(1, 1, 0)"
cfr,"(0, 1, 0)"
cga,"(3, 1, 0)"
cgen,"(3, 1, 2)"
cgnx,"(0, 1, 1)"
chco,"(0, 1, 0)"
chd,"(0, 1, 0)"
chdn,"(0, 1, 0)"
che,"(1, 1, 0)"
chk,"(1, 1, 1)"
chkp,"(2, 1, 1)"
chmg,"(1, 1, 2)"
chrw,"(0, 1, 0)"
chs,"(1, 0, 1)"
cht,"(0, 1, 1)"
chtr,"(2, 1, 2)"
chuy,"(0, 1, 0)"
cib,"(1, 1, 0)"
clar,"(0, 1, 0)"
clb,"(0, 1, 0)"
cldx,"(0, 1, 0)"
clf,"(2, 1, 0)"
clfd,"(0, 1, 0)"
clh,"(0, 1, 0)"
clmt,"(0, 1, 1)"
clne,"(3, 0, 2)"
clr,"(1, 1, 1)"
clro,"(0, 1, 0)"
cls,"(1, 1, 0)"
clsn,"(3, 0, 2)"
clw,"(0, 1, 0)"
clx,"(0, 1, 1)"
cm,"(0, 1, 2)"
cma,"(0, 1, 0)"
cmc,"(0, 1, 0)"
cmco,"(0, 1, 0)"
cmcsa,"(2, 0, 1)"
cme,"(0, 1, 0)"
cmg,"(0, 1, 0)"
cmi,"(0, 1, 0)"
cmls,"(0, 1, 0)"
cmp,"(1, 1, 0)"
cmpr,"(1, 1, 1)"
cmre,"(0, 1, 0)"
cmt,"(0, 1, 0)"
cmtl,"(2, 1, 0)"
cna,"(0, 1, 0)"
cnc,"(0, 1, 0)"
cnet,"(3, 1, 2)"
cni,"(0, 1, 0)"
cnk,"(0, 1, 0)"
cnmd,"(0, 1, 0)"
cno,"(0, 1, 0)"
cnp,"(1, 1, 0)"
cnq,"(0, 1, 0)"
cns,"(0, 1, 0)"
cnsl,"(3, 1, 0)"
cnty,"(1, 1, 1)"
cnx,"(0, 1, 0)"
cnxn,"(1, 1, 0)"
co,"(3, 1, 0)"
codi,"(0, 1, 1)"
cof,"(0, 1, 0)"
cohu,"(1, 1, 0)"
coke,"(1, 1, 0)"
colb,"(0, 1, 0)"
colm,"(0, 1, 0)"
cost,"(1, 0, 1)"
cpac,"(0, 1, 1)"
cpk,"(1, 0, 2)"
cplp,"(0, 1, 0)"
cprt,"(0, 1, 0)"
crm,"(1, 0, 3)"
cste,"(0, 1, 0)"
csv,"(0, 1, 0)"
cswc,"(1, 1, 1)"
ctrn,"(1, 1, 0)"
cts,"(0, 1, 0)"
ctsh,"(1, 1, 1)"
ctso,"(3, 1, 0)"
ctxs,"(1, 1, 2)"
cuk,"(0, 1, 0)"
culp,"(3, 1, 2)"
cutr,"(0, 1, 0)"
cvbf,"(0, 1, 0)"
cvco,"(3, 1, 3)"
cvcy,"(3, 1, 2)"
cve,"(0, 1, 0)"
cvgw,"(1, 0, 1)"
cvi,"(1, 1, 1)"
cvlt,"(0, 1, 0)"
cvm,"(3, 1, 3)"
cvs,"(1, 1, 0)"
cvx,"(0, 1, 0)"
cw,"(0, 1, 0)"
cwco,"(1, 1, 0)"
cwst,"(0, 1, 0)"
cwt,"(0, 1, 1)"
cybe,"(0, 1, 0)"
cycc,"(0, 1, 0)"
cyd,"(0, 1, 1)"
cyh,"(0, 1, 0)"
cyrn,"(0, 1, 1)"
cytk,"(0, 1, 2)"
cznc,"(1, 1, 1)"
czr,"(3, 1, 0)"
d,"(0, 1, 1)"
dac,"(0, 1, 0)"
dakt,"(0, 1, 0)"
dal,"(0, 1, 0)"
dan,"(0, 1, 0)"
db,"(0, 1, 0)"
dbd,"(0, 1, 0)"
dci,"(0, 1, 0)"
dco,"(3, 1, 2)"
dcom,"(1, 1, 0)"
dct,"(0, 1, 0)"
dhi,"(0, 1, 0)"
dhil,"(0, 1, 0)"
dhr,"(1, 1, 1)"
dht,"(2, 1, 3)"
dhx,"(1, 1, 0)"
din,"(0, 1, 0)"
diod,"(0, 1, 0)"
dis,"(0, 1, 0)"
dish,"(0, 1, 0)"
dk,"(0, 1, 0)"
dkl,"(0, 1, 0)"
dks,"(0, 1, 1)"
dla,"(2, 1, 3)"
dlb,"(0, 1, 0)"
dmlp,"(0, 1, 0)"
dmrc,"(1, 0, 1)"
dnb,"(0, 1, 0)"
dnn,"(0, 1, 0)"
dorm,"(0, 1, 0)"
dov,"(0, 1, 0)"
dox,"(0, 1, 0)"
dpz,"(1, 1, 0)"
dq,"(2, 1, 0)"
dri,"(0, 1, 1)"
drrx,"(0, 1, 0)"
dsgx,"(1, 1, 0)"
duk,"(0, 1, 0)"
dvax,"(0, 1, 2)"
dvn,"(0, 1, 0)"
dwsn,"(0, 1, 0)"
dxcm,"(0, 1, 0)"
dxlg,"(0, 1, 0)"
dxpe,"(0, 1, 0)"
dxyn,"(0, 1, 0)"
dy,"(1, 1, 1)"
dzsi,"(0, 1, 0)"
ea,"(0, 1, 0)"
eat,"(0, 1, 0)"
ebay,"(1, 1, 1)"
ebix,"(0, 1, 1)"
ebs,"(0, 1, 0)"
ebtc,"(1, 1, 0)"
ecf,"(1, 1, 0)"
ecl,"(1, 1, 2)"
edu,"(2, 1, 0)"
eeft,"(1, 0, 1)"
efsc,"(0, 1, 0)"
egle,"(0, 1, 0)"
ego,"(0, 1, 0)"
eix,"(0, 1, 1)"
el,"(2, 1, 2)"
elp,"(0, 1, 0)"
emkr,"(0, 1, 0)"
emn,"(0, 1, 0)"
emx,"(1, 1, 0)"
enb,"(2, 1, 1)"
eng,"(1, 1, 0)"
enlc,"(0, 1, 0)"
epc,"(0, 1, 0)"
eqt,"(0, 1, 1)"
erf,"(2, 1, 0)"
eric,"(0, 1, 0)"
erie,"(0, 1, 1)"
erii,"(1, 1, 0)"
erj,"(0, 1, 0)"
es,"(1, 0, 2)"
esca,"(0, 1, 0)"
ese,"(0, 1, 0)"
esea,"(3, 0, 2)"
esgr,"(0, 1, 0)"
eslt,"(0, 1, 0)"
este,"(0, 1, 0)"
evr,"(0, 1, 0)"
exas,"(3, 1, 0)"
exc,"(0, 1, 0)"
exel,"(0, 1, 0)"
exk,"(1, 1, 0)"
exls,"(0, 1, 1)"
exp,"(0, 1, 0)"
expd,"(1, 0, 1)"
expe,"(0, 1, 0)"
expo,"(0, 1, 0)"
expr,"(0, 1, 0)"
extr,"(0, 1, 0)"
fanh,"(3, 0, 2)"
farm,"(1, 1, 1)"
faro,"(0, 1, 0)"
fast,"(0, 1, 0)"
fbc,"(0, 1, 0)"
fbhs,"(0, 1, 0)"
fbiz,"(0, 1, 0)"
fbnc,"(1, 1, 0)"
fbp,"(0, 1, 0)"
fc,"(1, 1, 1)"
fcbc,"(3, 1, 2)"
fcel,"(0, 1, 0)"
fcf,"(0, 1, 1)"
fcfs,"(0, 1, 1)"
fcn,"(0, 1, 0)"
fcnca,"(1, 1, 0)"
fco,"(3, 1, 2)"
fcx,"(1, 1, 0)"
fele,"(0, 1, 0)"
feng,"(0, 1, 0)"
fet,"(0, 1, 1)"
ff,"(0, 1, 0)"
ffic,"(0, 1, 1)"
ffiv,"(0, 1, 0)"
fhn,"(0, 1, 0)"
fibk,"(0, 1, 0)"
fico,"(1, 1, 1)"
fis,"(1, 1, 1)"
fisi,"(1, 0, 2)"
fix,"(1, 1, 1)"
fizz,"(2, 1, 3)"
fl,"(0, 1, 0)"
flex,"(0, 1, 0)"
fmc,"(0, 1, 0)"
fmnb,"(2, 1, 2)"
fms,"(2, 1, 1)"
fn,"(0, 1, 0)"
fnb,"(1, 0, 2)"
fnf,"(2, 1, 2)"
fnhc,"(0, 1, 0)"
fnv,"(0, 1, 3)"
frd,"(0, 1, 1)"
fsi,"(1, 0, 0)"
fsm,"(0, 1, 1)"
ftft,"(1, 1, 1)"
fti,"(0, 1, 0)"
ftk,"(0, 1, 0)"
ftnt,"(0, 1, 0)"
ful,"(0, 1, 0)"
fult,"(0, 1, 0)"
fun,"(2, 1, 2)"
fwona,"(0, 1, 0)"
fwrd,"(1, 1, 1)"
g,"(1, 1, 1)"
gabc,"(0, 1, 0)"
gaia,"(0, 1, 2)"
gain,"(0, 1, 0)"
gam,"(1, 1, 0)"
gass,"(0, 1, 0)"
gatx,"(0, 1, 0)"
gbci,"(0, 1, 0)"
gbdc,"(2, 1, 0)"
gbl,"(0, 1, 1)"
gbx,"(0, 1, 1)"
gco,"(0, 1, 0)"
gd,"(0, 1, 0)"
gden,"(1, 1, 1)"
gdot,"(0, 1, 1)"
gef,"(0, 1, 0)"
genc,"(3, 1, 3)"
geos,"(1, 1, 0)"
gern,"(0, 1, 1)"
gevo,"(2, 1, 0)"
gff,"(2, 1, 1)"
gfi,"(1, 1, 2)"
ggal,"(2, 1, 0)"
ggb,"(0, 1, 0)"
ggg,"(0, 1, 0)"
ghc,"(0, 1, 0)"
ghl,"(0, 1, 0)"
ghm,"(1, 1, 0)"
gib,"(1, 0, 1)"
giii,"(2, 1, 1)"
gil,"(0, 1, 1)"
gild,"(0, 1, 0)"
gilt,"(0, 1, 0)"
gis,"(0, 1, 0)"
glad,"(2, 1, 1)"
glbs,"(1, 1, 1)"
gldd,"(0, 1, 0)"
glng,"(1, 1, 0)"
glp,"(0, 1, 0)"
glre,"(0, 1, 0)"
glt,"(0, 1, 0)"
glw,"(0, 1, 0)"
gm,"(0, 1, 1)"
gme,"(1, 1, 1)"
gmed,"(0, 1, 0)"
gne,"(1, 1, 0)"
gnrc,"(0, 1, 0)"
gntx,"(1, 0, 1)"
gnw,"(1, 1, 0)"
gogl,"(0, 1, 0)"
gol,"(0, 1, 0)"
gold,"(0, 1, 0)"
googl,"(1, 1, 0)"
goro,"(0, 1, 0)"
gpc,"(0, 1, 0)"
gpi,"(0, 1, 0)"
gpk,"(1, 1, 1)"
gpl,"(0, 1, 0)"
gpn,"(0, 1, 0)"
gpor,"(0, 1, 0)"
gpre,"(0, 1, 0)"
grc,"(0, 1, 1)"
gsk,"(0, 1, 0)"
gsm,"(0, 1, 0)"
gt,"(0, 1, 0)"
gte,"(0, 1, 1)"
gtim,"(1, 1, 1)"
gure,"(0, 1, 0)"
gva,"(1, 0, 1)"
hayn,"(1, 0, 1)"
hban,"(0, 1, 0)"
hbcp,"(1, 1, 0)"
hbio,"(0, 1, 0)"
hbm,"(0, 1, 0)"
hbnc,"(1, 1, 0)"
hcci,"(0, 1, 0)"
hci,"(1, 1, 0)"
hckt,"(0, 1, 0)"
hcp,"(1, 1, 0)"
hcsg,"(1, 1, 1)"
hd,"(0, 1, 0)"
hdb,"(0, 1, 0)"
hdsn,"(0, 1, 0)"
he,"(0, 1, 0)"
hear,"(0, 1, 0)"
hees,"(0, 1, 0)"
hei,"(1, 1, 0)"
hele,"(1, 1, 1)"
hep,"(1, 0, 1)"
hes,"(0, 1, 0)"
hfwa,"(1, 1, 1)"
hi,"(1, 1, 1)"
hibb,"(2, 1, 2)"
hiho,"(1, 1, 0)"
hii,"(0, 1, 0)"
himx,"(2, 1, 2)"
hl,"(0, 1, 1)"
hlf,"(0, 1, 0)"
hlit,"(0, 1, 1)"
hlx,"(0, 1, 0)"
hmn,"(0, 1, 0)"
hmst,"(0, 1, 0)"
hmy,"(0, 1, 1)"
hni,"(2, 1, 1)"
hnp,"(0, 1, 0)"
hnrg,"(1, 1, 1)"
hoft,"(2, 1, 0)"
hog,"(1, 1, 1)"
holi,"(0, 1, 0)"
holx,"(0, 1, 0)"
homb,"(0, 1, 0)"
hon,"(1, 1, 1)"
hope,"(0, 1, 0)"
hov,"(0, 1, 1)"
hp,"(0, 1, 0)"
hson,"(1, 1, 1)"
htbk,"(1, 1, 2)"
htgc,"(0, 1, 0)"
hth,"(0, 1, 0)"
htht,"(2, 1, 2)"
htld,"(0, 1, 0)"
htlf,"(0, 1, 1)"
htz,"(0, 1, 0)"
hubg,"(0, 1, 0)"
hun,"(0, 1, 0)"
hwkn,"(0, 1, 1)"
hxl,"(0, 1, 0)"
hy,"(0, 1, 0)"
hznp,"(0, 1, 0)"
hzo,"(0, 1, 0)"
iac,"(0, 1, 0)"
iag,"(0, 1, 0)"
iart,"(0, 1, 0)"
ibcp,"(0, 1, 0)"
ibn,"(0, 1, 0)"
ice,"(1, 1, 0)"
icfi,"(0, 1, 0)"
iclr,"(0, 1, 0)"
icpt,"(3, 1, 1)"
icui,"(1, 1, 1)"
ida,"(2, 0, 1)"
idcc,"(0, 1, 0)"
idxx,"(0, 1, 0)"
iep,"(2, 1, 2)"
iesc,"(2, 1, 0)"
iex,"(0, 1, 0)"
iff,"(0, 1, 1)"
igc,"(0, 1, 2)"
ilmn,"(0, 1, 0)"
imax,"(0, 1, 0)"
imo,"(0, 1, 0)"
imos,"(0, 1, 0)"
incy,"(0, 1, 1)"
indb,"(0, 1, 0)"
infn,"(0, 1, 0)"
infu,"(0, 1, 1)"
ing,"(0, 1, 0)"
ingr,"(0, 1, 0)"
ino,"(3, 1, 0)"
insg,"(1, 1, 0)"
int,"(0, 1, 0)"
intc,"(1, 1, 0)"
intt,"(0, 1, 1)"
ions,"(0, 1, 0)"
iosp,"(0, 1, 0)"
ip,"(1, 1, 0)"
ipar,"(1, 1, 1)"
ipg,"(0, 1, 0)"
ipgp,"(0, 1, 0)"
ipi,"(0, 1, 1)"
iqi,"(1, 1, 0)"
ir,"(0, 1, 0)"
irbt,"(1, 1, 0)"
irdm,"(0, 1, 0)"
irix,"(0, 1, 0)"
isig,"(1, 1, 1)"
isrg,"(0, 1, 0)"
issc,"(0, 1, 0)"
it,"(1, 1, 0)"
itgr,"(0, 1, 1)"
iti,"(2, 1, 0)"
itri,"(0, 1, 0)"
itrn,"(0, 1, 0)"
itt,"(0, 1, 1)"
itw,"(0, 1, 0)"
ivac,"(0, 1, 0)"
ivc,"(0, 1, 0)"
jack,"(1, 1, 0)"
jakk,"(0, 1, 0)"
jazz,"(0, 1, 0)"
jbht,"(1, 1, 0)"
jbl,"(0, 1, 0)"
jblu,"(0, 1, 0)"
jbss,"(0, 1, 0)"
jbt,"(0, 1, 1)"
jhx,"(1, 1, 1)"
jks,"(0, 1, 0)"
jrjc,"(0, 1, 0)"
kalu,"(1, 1, 1)"
kb,"(0, 1, 0)"
kbal,"(0, 1, 0)"
kbh,"(0, 1, 0)"
kbr,"(0, 1, 1)"
kep,"(0, 1, 0)"
kgc,"(0, 1, 0)"
kirk,"(0, 1, 0)"
klac,"(0, 1, 0)"
klic,"(0, 1, 0)"
kmb,"(2, 1, 1)"
kmi,"(1, 1, 0)"
kmt,"(1, 1, 1)"
kmx,"(0, 1, 0)"
kndi,"(0, 1, 0)"
knx,"(2, 1, 0)"
ko,"(1, 0, 1)"
kof,"(0, 1, 0)"
kop,"(0, 1, 0)"
kopn,"(0, 1, 2)"
kos,"(0, 1, 0)"
kr,"(1, 1, 1)"
krny,"(1, 1, 1)"
kro,"(0, 1, 0)"
kss,"(0, 1, 0)"
kt,"(0, 1, 0)"
ktf,"(2, 1, 3)"
ktos,"(1, 1, 2)"
kvhi,"(1, 1, 1)"
kwr,"(1, 1, 0)"
lad,"(0, 1, 0)"
lake,"(2, 0, 3)"
lanc,"(1, 1, 2)"
lbtya,"(1, 1, 0)"
lbtyk,"(1, 1, 0)"
lci,"(0, 1, 0)"
lcii,"(2, 1, 0)"
lcut,"(2, 1, 3)"
ldos,"(0, 1, 0)"
lea,"(0, 1, 1)"
leco,"(0, 1, 0)"
leds,"(2, 1, 3)"
lee,"(0, 1, 0)"
leg,"(1, 1, 1)"
len,"(1, 1, 1)"
leo,"(2, 1, 3)"
leu,"(1, 1, 0)"
lfus,"(1, 1, 0)"
lfvn,"(1, 1, 1)"
lgnd,"(0, 1, 0)"
lh,"(1, 0, 1)"
lhcg,"(0, 1, 0)"
lii,"(1, 0, 2)"
linc,"(3, 1, 0)"
live,"(0, 1, 0)"
lkq,"(0, 1, 0)"
ll,"(1, 1, 1)"
lly,"(1, 1, 1)"
lmat,"(2, 1, 3)"
lmnr,"(1, 1, 1)"
lmt,"(0, 1, 0)"
lndc,"(0, 1, 1)"
lng,"(1, 1, 2)"
lnn,"(0, 1, 0)"
lnt,"(0, 1, 0)"
logi,"(1, 1, 1)"
lope,"(0, 1, 0)"
low,"(1, 1, 0)"
lpl,"(0, 1, 0)"
lrn,"(0, 1, 0)"
luv,"(1, 1, 1)"
lxrx,"(1, 1, 1)"
lxu,"(0, 1, 0)"
lyb,"(0, 1, 0)"
lyts,"(0, 1, 0)"
lyv,"(0, 1, 1)"
lzb,"(0, 1, 0)"
m,"(0, 1, 0)"
man,"(0, 1, 0)"
manh,"(0, 1, 0)"
mant,"(0, 1, 0)"
manu,"(1, 1, 0)"
mar,"(0, 1, 0)"
mark,"(1, 1, 0)"
mas,"(1, 0, 1)"
masi,"(0, 1, 0)"
mat,"(0, 1, 0)"
matw,"(2, 0, 1)"
matx,"(0, 1, 0)"
mcd,"(0, 1, 0)"
mchp,"(0, 1, 1)"
mchx,"(0, 1, 0)"
mci,"(3, 1, 3)"
mck,"(0, 1, 0)"
mcri,"(0, 1, 1)"
mcs,"(1, 1, 0)"
md,"(0, 1, 0)"
mdc,"(0, 1, 0)"
mdlz,"(1, 1, 1)"
mdrx,"(0, 1, 0)"
mdt,"(1, 1, 1)"
mdu,"(0, 1, 0)"
med,"(0, 1, 2)"
mei,"(0, 1, 0)"
meli,"(0, 1, 0)"
meoh,"(0, 1, 0)"
merc,"(2, 1, 0)"
mind,"(0, 1, 0)"
mitk,"(0, 1, 0)"
mlco,"(3, 1, 3)"
mlm,"(0, 1, 0)"
mlnk,"(1, 1, 0)"
mndo,"(0, 1, 1)"
mnro,"(0, 1, 0)"
mod,"(0, 1, 0)"
moh,"(0, 1, 0)"
mos,"(2, 1, 2)"
mov,"(0, 1, 0)"
mpaa,"(0, 1, 0)"
mpc,"(0, 1, 0)"
mplx,"(1, 1, 0)"
mpwr,"(1, 1, 1)"
mpx,"(0, 1, 1)"
mrc,"(0, 1, 0)"
mrcy,"(0, 1, 0)"
mrk,"(1, 1, 1)"
mro,"(0, 1, 0)"
mrtn,"(0, 1, 0)"
mrvl,"(0, 1, 0)"
msa,"(0, 1, 0)"
msb,"(0, 1, 0)"
msex,"(1, 1, 0)"
msft,"(0, 1, 0)"
mt,"(0, 1, 0)"
mtdr,"(0, 1, 0)"
mtem,"(2, 0, 1)"
mtex,"(1, 1, 1)"
mth,"(0, 1, 0)"
mtn,"(1, 1, 2)"
mtor,"(0, 1, 0)"
mtr,"(1, 1, 0)"
mtrn,"(0, 1, 0)"
mtrx,"(1, 1, 0)"
mtsi,"(1, 0, 1)"
mtw,"(1, 1, 0)"
mtx,"(2, 1, 1)"
mtz,"(0, 1, 0)"
mu,"(0, 1, 1)"
mur,"(0, 1, 0)"
mux,"(1, 1, 0)"
nath,"(0, 1, 0)"
nati,"(0, 1, 0)"
natr,"(0, 1, 0)"
nbix,"(0, 1, 0)"
nbr,"(0, 1, 0)"
nc,"(1, 1, 0)"
ncmi,"(0, 1, 2)"
ncr,"(0, 1, 0)"
ncty,"(0, 1, 0)"
ndsn,"(0, 1, 0)"
ne,"(0, 1, 0)"
nem,"(0, 1, 0)"
neu,"(0, 1, 0)"
nfg,"(0, 1, 0)"
nflx,"(0, 1, 0)"
ngd,"(2, 1, 0)"
ngl,"(1, 1, 0)"
ngs,"(1, 1, 1)"
ngvc,"(0, 1, 0)"
nhc,"(1, 1, 2)"
ni,"(1, 1, 1)"
nice,"(0, 1, 0)"
njr,"(0, 1, 1)"
nke,"(1, 1, 1)"
nktr,"(1, 0, 2)"
nl,"(0, 1, 0)"
nls,"(2, 1, 2)"
nlsn,"(0, 1, 2)"
nok,"(0, 1, 0)"
npo,"(2, 1, 0)"
nptn,"(2, 1, 2)"
nrg,"(2, 1, 0)"
nrp,"(0, 1, 0)"
ns,"(2, 1, 1)"
nsc,"(0, 1, 0)"
nsit,"(0, 1, 0)"
nsp,"(1, 1, 0)"
nssc,"(2, 1, 0)"
ntap,"(0, 1, 0)"
ntct,"(0, 1, 0)"
ntes,"(1, 1, 1)"
ntwk,"(0, 1, 0)"
